freq,landuse,unit,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 	2026 
A,TOTAL,KM2,AL	: 	: 	: 	: 	28791 e	28791 e	28791 e	28791 e	28791 e	28791 e
A,TOTAL,KM2,AL0	: 	: 	: 	: 	28791 e	28791 e	28791 e	28791 e	28791 e	28791 e
A,TOTAL,KM2,AL01	: 	: 	: 	: 	10820 e	10820 e	10820 e	10820 e	10820 e	10820 e
A,TOTAL,KM2,AL011	: 	: 	: 	: 	1661 e	1661 e	1661 e	1661 e	1661 e	1661 e
A,TOTAL,KM2,AL012	: 	: 	: 	: 	3528 e	3528 e	3528 e	3528 e	3528 e	3528 e
A,TOTAL,KM2,AL013	: 	: 	: 	: 	2469 e	2469 e	2469 e	2469 e	2469 e	2469 e
A,TOTAL,KM2,AL014	: 	: 	: 	: 	2392 e	2392 e	2392 e	2392 e	2392 e	2392 e
A,TOTAL,KM2,AL015	: 	: 	: 	: 	770 e	770 e	770 e	770 e	770 e	770 e
A,TOTAL,KM2,AL02	: 	: 	: 	: 	4967 e	4967 e	4967 e	4967 e	4967 e	4967 e
A,TOTAL,KM2,AL021	: 	: 	: 	: 	3314 e	3314 e	3314 e	3314 e	3314 e	3314 e
A,TOTAL,KM2,AL022	: 	: 	: 	: 	1653 e	1653 e	1653 e	1653 e	1653 e	1653 e
A,TOTAL,KM2,AL03	: 	: 	: 	: 	13004 e	13004 e	13004 e	13004 e	13004 e	13004 e
A,TOTAL,KM2,AL031	: 	: 	: 	: 	1882 e	1882 e	1882 e	1882 e	1882 e	1882 e
A,TOTAL,KM2,AL032	: 	: 	: 	: 	2879 e	2879 e	2879 e	2879 e	2879 e	2879 e
A,TOTAL,KM2,AL033	: 	: 	: 	: 	2705 e	2705 e	2705 e	2705 e	2705 e	2705 e
A,TOTAL,KM2,AL034	: 	: 	: 	: 	1801 e	1801 e	1801 e	1801 e	1801 e	1801 e
A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,AT	83882 	83878 	83878 	83878 	83878 	83878 	83878 	83882 	83882 	83882 
A,TOTAL,KM2,AT1	23559 	23558 	23558 	23558 	23558 	23558 	23558 	23559 	23559 	23559 
A,TOTAL,KM2,AT11	3965 	3964 	3964 	3964 	3964 	3964 	3964 	3964 	3964 	3964 
A,TOTAL,KM2,AT111	701 	701 	701 	701 	701 	701 	701 	701 	701 	701 
A,TOTAL,KM2,AT112	1792 	1792 	1792 	1792 	1792 	1792 	1792 	1792 	1792 	1792 
A,TOTAL,KM2,AT113	1471 	1471 	1471 	1471 	1471 	1471 	1471 	1471 	1471 	1471 
A,TOTAL,KM2,AT12	19179 	19179 	19179 	19179 	19179 	19179 	19179 	19180 	19180 	19180 
A,TOTAL,KM2,AT121	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 
A,TOTAL,KM2,AT122	3368 	3368 	3368 	3368 	3368 	3368 	3368 	3368 	3368 	3368 
A,TOTAL,KM2,AT123	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 
A,TOTAL,KM2,AT124	4615 	4615 	4615 	4615 	4615 	4615 	4615 	4615 	4615 	4615 
A,TOTAL,KM2,AT125	2412 	2412 	2412 	2412 	2412 	2412 	2412 	2413 	2413 	2413 
A,TOTAL,KM2,AT126	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 
A,TOTAL,KM2,AT127	1475 	1475 	1475 	1475 	1475 	1475 	1475 	1475 	1475 	1475 
