freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,AL	800028 e	1155185 e	1339177 e	2101259 e	2214777 
A,DOM,NR,I551-I553,AL0	800028 e	1155185 e	1339177 e	2101259 e	2214777 
A,DOM,NR,I551-I553,AL01	192559 e	234113 e	304109 e	521366 e	547037 
A,DOM,NR,I551-I553,AL011	: 	: 	: 	: 	24938 
A,DOM,NR,I551-I553,AL012	: 	: 	: 	: 	251887 
A,DOM,NR,I551-I553,AL013	: 	: 	: 	: 	7758 
A,DOM,NR,I551-I553,AL014	: 	: 	: 	: 	108143 
A,DOM,NR,I551-I553,AL015	: 	: 	: 	: 	154311 
A,DOM,NR,I551-I553,AL02	170881 e	254975 e	377705 e	530627 e	629426 
A,DOM,NR,I551-I553,AL021	: 	: 	: 	: 	35941 
A,DOM,NR,I551-I553,AL022	: 	: 	: 	: 	593485 
A,DOM,NR,I551-I553,AL03	436588 e	666097 e	657363 e	1049266 e	1038314 
A,DOM,NR,I551-I553,AL031	: 	: 	: 	: 	19875 
A,DOM,NR,I551-I553,AL032	: 	: 	: 	: 	22062 
A,DOM,NR,I551-I553,AL033	: 	: 	: 	: 	39880 
A,DOM,NR,I551-I553,AL034	: 	: 	: 	: 	189867 
A,DOM,NR,I551-I553,AL035	: 	: 	: 	: 	766630 
A,DOM,NR,I551-I553,AT	27990963 	26674565 	35592486 	36742409 	37192120 
A,DOM,NR,I551-I553,AT1	6045909 	6528635 	8936550 	9771358 	10106532 
A,DOM,NR,I551-I553,AT11	1712535 	1822714 	2109561 	2244262 	2355758 
A,DOM,NR,I551-I553,AT111	168048 	209564 	315586 	296758 	297263 
A,DOM,NR,I551-I553,AT112	925522 	961094 	1012832 	1129544 	1173051 
A,DOM,NR,I551-I553,AT113	618965 	652056 	781143 	817960 	885444 
A,DOM,NR,I551-I553,AT12	3090342 	3352653 	4140165 	4439433 	4448982 
A,DOM,NR,I551-I553,AT121	329701 	326735 	428161 	472884 	431655 
